name,total_pop,white_alone,black_alone,hispanic_latino,state,county,tract,pct_white,pct_black,pct_hispanic,GEOID
Census Tract 101; Cook County; Illinois,4284,1762,1347,920,17,031,010100,41.1,31.4,21.5,17031010100
Census Tract 102.01; Cook County; Illinois,8210,1557,2931,2003,17,031,010201,19.0,35.7,24.4,17031010201
Census Tract 102.02; Cook County; Illinois,2865,860,945,556,17,031,010202,30.0,33.0,19.4,17031010202
Census Tract 103; Cook County; Illinois,6237,3164,1459,1056,17,031,010300,50.7,23.4,16.9,17031010300
Census Tract 104; Cook County; Illinois,4473,3351,354,378,17,031,010400,74.9,7.9,8.5,17031010400
Census Tract 105.01; Cook County; Illinois,3913,2632,789,230,17,031,010501,67.3,20.2,5.9,17031010501
Census Tract 105.02; Cook County; Illinois,3407,1862,537,571,17,031,010502,54.7,15.8,16.8,17031010502
Census Tract 105.03; Cook County; Illinois,2417,1753,382,30,17,031,010503,72.5,15.8,1.2,17031010503
Census Tract 106; Cook County; Illinois,6379,3540,1285,890,17,031,010600,55.5,20.1,14.0,17031010600
Census Tract 107.01; Cook County; Illinois,3590,1366,748,1097,17,031,010701,38.1,20.8,30.6,17031010701
Census Tract 107.02; Cook County; Illinois,5148,1218,1881,1779,17,031,010702,23.7,36.5,34.6,17031010702
Census Tract 201; Cook County; Illinois,3927,965,1521,1027,17,031,020100,24.6,38.7,26.2,17031020100
Census Tract 202; Cook County; Illinois,7203,3280,494,2142,17,031,020200,45.5,6.9,29.7,17031020200
Census Tract 203.01; Cook County; Illinois,5432,4251,99,347,17,031,020301,78.3,1.8,6.4,17031020301
Census Tract 203.02; Cook County; Illinois,5201,3659,365,652,17,031,020302,70.4,7.0,12.5,17031020302
Census Tract 204; Cook County; Illinois,4256,1433,808,1503,17,031,020400,33.7,19.0,35.3,17031020400
Census Tract 205; Cook County; Illinois,6646,1353,1044,1059,17,031,020500,20.4,15.7,15.9,17031020500
Census Tract 206.01; Cook County; Illinois,5868,2882,135,809,17,031,020601,49.1,2.3,13.8,17031020601
Census Tract 206.02; Cook County; Illinois,5343,1967,473,1387,17,031,020602,36.8,8.9,26.0,17031020602
Census Tract 207.01; Cook County; Illinois,1728,1071,175,263,17,031,020701,62.0,10.1,15.2,17031020701
Census Tract 207.02; Cook County; Illinois,8412,3481,298,1974,17,031,020702,41.4,3.5,23.5,17031020702
Census Tract 208.01; Cook County; Illinois,5990,2149,770,1933,17,031,020801,35.9,12.9,32.3,17031020801
Census Tract 208.02; Cook County; Illinois,8715,2227,582,2216,17,031,020802,25.6,6.7,25.4,17031020802
Census Tract 209.01; Cook County; Illinois,6179,1374,1489,1586,17,031,020901,22.2,24.1,25.7,17031020901
Census Tract 209.02; Cook County; Illinois,4365,1414,840,642,17,031,020902,32.4,19.2,14.7,17031020902
Census Tract 301.01; Cook County; Illinois,3517,1320,910,354,17,031,030101,37.5,25.9,10.1,17031030101
Census Tract 301.02; Cook County; Illinois,3052,1087,452,368,17,031,030102,35.6,14.8,12.1,17031030102
Census Tract 301.03; Cook County; Illinois,2297,1123,319,449,17,031,030103,48.9,13.9,19.5,17031030103
Census Tract 301.04; Cook County; Illinois,3106,1812,266,465,17,031,030104,58.3,8.6,15.0,17031030104
Census Tract 302; Cook County; Illinois,5554,3577,90,1284,17,031,030200,64.4,1.6,23.1,17031030200
Census Tract 303; Cook County; Illinois,3642,1028,745,1058,17,031,030300,28.2,20.5,29.0,17031030300
Census Tract 304; Cook County; Illinois,2822,1644,152,710,17,031,030400,58.3,5.4,25.2,17031030400
Census Tract 305; Cook County; Illinois,6344,3788,420,1290,17,031,030500,59.7,6.6,20.3,17031030500
Census Tract 306.01; Cook County; Illinois,3771,1541,949,241,17,031,030601,40.9,25.2,6.4,17031030601
Census Tract 306.03; Cook County; Illinois,2305,1068,551,276,17,031,030603,46.3,23.9,12.0,17031030603
Census Tract 306.04; Cook County; Illinois,2921,1551,514,251,17,031,030604,53.1,17.6,8.6,17031030604
Census Tract 307.01; Cook County; Illinois,1509,670,529,184,17,031,030701,44.4,35.1,12.2,17031030701
Census Tract 307.02; Cook County; Illinois,2266,1222,90,292,17,031,030702,53.9,4.0,12.9,17031030702
Census Tract 307.03; Cook County; Illinois,3093,1705,432,546,17,031,030703,55.1,14.0,17.7,17031030703
Census Tract 307.06; Cook County; Illinois,2588,1573,370,106,17,031,030706,60.8,14.3,4.1,17031030706
Census Tract 308; Cook County; Illinois,4236,3006,190,440,17,031,030800,71.0,4.5,10.4,17031030800
Census Tract 309; Cook County; Illinois,3076,2210,100,381,17,031,030900,71.8,3.3,12.4,17031030900
Census Tract 310; Cook County; Illinois,3652,2552,31,606,17,031,031000,69.9,0.8,16.6,17031031000
Census Tract 311; Cook County; Illinois,4898,3367,614,358,17,031,031100,68.7,12.5,7.3,17031031100
Census Tract 312; Cook County; Illinois,5936,1472,2245,1368,17,031,031200,24.8,37.8,23.0,17031031200
Census Tract 313; Cook County; Illinois,6853,3736,995,909,17,031,031300,54.5,14.5,13.3,17031031300
Census Tract 314; Cook County; Illinois,4685,3415,220,347,17,031,031400,72.9,4.7,7.4,17031031400
Census Tract 315.01; Cook County; Illinois,4640,1608,1662,548,17,031,031501,34.7,35.8,11.8,17031031501
Census Tract 315.02; Cook County; Illinois,4622,1818,1590,773,17,031,031502,39.3,34.4,16.7,17031031502
Census Tract 317; Cook County; Illinois,6119,4115,919,608,17,031,031700,67.2,15.0,9.9,17031031700
Census Tract 318; Cook County; Illinois,2114,1121,97,386,17,031,031800,53.0,4.6,18.3,17031031800
Census Tract 319; Cook County; Illinois,2417,1753,233,232,17,031,031900,72.5,9.6,9.6,17031031900
Census Tract 321; Cook County; Illinois,7279,3920,869,1388,17,031,032100,53.9,11.9,19.1,17031032100
Census Tract 401; Cook County; Illinois,4011,2596,341,734,17,031,040100,64.7,8.5,18.3,17031040100
Census Tract 402.01; Cook County; Illinois,6688,4904,103,1023,17,031,040201,73.3,1.5,15.3,17031040201
Census Tract 402.02; Cook County; Illinois,7965,2391,336,2760,17,031,040202,30.0,4.2,34.7,17031040202
Census Tract 403; Cook County; Illinois,3063,1329,139,752,17,031,040300,43.4,4.5,24.6,17031040300
Census Tract 404.01; Cook County; Illinois,3431,1978,97,794,17,031,040401,57.7,2.8,23.1,17031040401
Census Tract 404.02; Cook County; Illinois,4581,3384,123,749,17,031,040402,73.9,2.7,16.4,17031040402
Census Tract 406; Cook County; Illinois,2785,2094,139,426,17,031,040600,75.2,5.0,15.3,17031040600
Census Tract 407; Cook County; Illinois,3749,2666,123,291,17,031,040700,71.1,3.3,7.8,17031040700
Census Tract 408; Cook County; Illinois,1577,1107,28,299,17,031,040800,70.2,1.8,19.0,17031040800
Census Tract 409; Cook County; Illinois,2006,1643,2,265,17,031,040900,81.9,0.1,13.2,17031040900
Census Tract 501; Cook County; Illinois,2513,2189,71,148,17,031,050100,87.1,2.8,5.9,17031050100
Census Tract 502; Cook County; Illinois,5546,4160,54,791,17,031,050200,75.0,1.0,14.3,17031050200
Census Tract 503; Cook County; Illinois,2829,1625,29,493,17,031,050300,57.4,1.0,17.4,17031050300
Census Tract 505; Cook County; Illinois,5199,4377,2,271,17,031,050500,84.2,0.0,5.2,17031050500
Census Tract 506; Cook County; Illinois,2232,1888,16,163,17,031,050600,84.6,0.7,7.3,17031050600
Census Tract 507; Cook County; Illinois,1456,1245,0,163,17,031,050700,85.5,0.0,11.2,17031050700
Census Tract 508; Cook County; Illinois,1398,856,54,319,17,031,050800,61.2,3.9,22.8,17031050800
Census Tract 509; Cook County; Illinois,1388,1014,27,239,17,031,050900,73.1,1.9,17.2,17031050900
Census Tract 510; Cook County; Illinois,1707,1231,33,203,17,031,051000,72.1,1.9,11.9,17031051000
Census Tract 511; Cook County; Illinois,1905,1283,21,378,17,031,051100,67.3,1.1,19.8,17031051100
Census Tract 512; Cook County; Illinois,1576,1155,45,153,17,031,051200,73.3,2.9,9.7,17031051200
Census Tract 513; Cook County; Illinois,3077,2043,237,527,17,031,051300,66.4,7.7,17.1,17031051300
Census Tract 514; Cook County; Illinois,2535,1569,223,299,17,031,051400,61.9,8.8,11.8,17031051400
Census Tract 601; Cook County; Illinois,3178,2377,7,360,17,031,060100,74.8,0.2,11.3,17031060100
Census Tract 602; Cook County; Illinois,2147,1572,103,373,17,031,060200,73.2,4.8,17.4,17031060200
Census Tract 603; Cook County; Illinois,2821,2109,54,420,17,031,060300,74.8,1.9,14.9,17031060300
Census Tract 604; Cook County; Illinois,3691,2965,45,357,17,031,060400,80.3,1.2,9.7,17031060400
Census Tract 605; Cook County; Illinois,1287,939,60,108,17,031,060500,73.0,4.7,8.4,17031060500
Census Tract 608; Cook County; Illinois,5319,3421,194,637,17,031,060800,64.3,3.6,12.0,17031060800
Census Tract 609; Cook County; Illinois,6943,5368,142,654,17,031,060900,77.3,2.0,9.4,17031060900
Census Tract 610; Cook County; Illinois,2324,1580,49,226,17,031,061000,68.0,2.1,9.7,17031061000
